0;* На экране через пелену помех вместо Мартана проступает лицо лидера Американского союза *;;;;
;Где Мартан? Что у вас творится?;1;;;
1;Мартан остался в командном центре проекта Аврора в Брюсселе. Шесть часов назад туда вошли войска Зорсан. Связи с ними нет, судя по последним данным от самолета-разведчика там сейчас идет бой. Значительная часть центра разрушена, жив ли Мартан мне не известно. Командование перенесено сюда, в Америку.;;;;
;Как обстановка на Земле?;2;;;
2;Плохо. После высадки последнего десанта организованное сопротивление в Европе сломлено. Они пытались применить ОМП, зафиксировано несколько тактических ядерных взрывов, неизвестно насколько эффективны они были. ;;;;
;А что с Америкой?;3;;;am
;Как дела в Азии?;4;;;as
;Что с остальными регионами?;5;;;other
;Есть ли еще надежда на победу?;6;;;
3;У нас дела обстоят сравнительно неплохо. Самая современная армия мира, как-никак. Первое время мы даже неплохо отстреливали их летающие танки, но потом им прибыло подкрепление, и они все-таки прорвали нашу оборону. Сейчас мы готовим нанесение ядерных ударов по основным плацдармам высадки, после чего наша армия пойдет в атаку, возможно нам удастся их задавить. Инопланетяне не щадят нас, все крупные города, до которых они добрались — в руинах, так что и мы их щадить не намерены.;;;;
;Как дела в Азии?;4;!as;;as
;Что с остальными регионами?;5;!other;;other
;Есть ли еще надежда на победу?;6;;;
4;С Азией они поступили весьма жестоко, взорвав несколько мощных бомб под водой, а также нанеся точечные удары по объектам инфраструктуры. В итоге Японию, острова в Тихом океане и Китай затопило. После чего небольшими силами Зорсаны разбили остатки тамошних войск и захватили основные города, пока люди боролись со стихийными бедствиями.;;;;
;А что с Америкой?;3;!am;;am
;Что с остальными регионами?;5;!other;;other
;Есть ли еще надежда на победу?;6;;;
5;В остальные регионы они особо не совались. В Австралии например все пока что спокойно, но и помочь они особо ничем не могут. Россия сейчас разрывается на два фронта, пытаясь помочь и в Европе и в Азии. В Африке зорсаны ограничились уничтожением портов и аэродромов, так что доставить оттуда помощь пока невозможно. Видимо они рассчитывают расправиться с этими районами позднее.;;;;
;А что с Америкой?;3;;;am
;Как дела в Азии?;4;;;as
;Есть ли еще надежда на победу?;6;;;
6;Если нам удастся разбить их в Америке, мы сможем собрать свои войска и Африканцев, за несколько дней перебросить помощь в Европу. И если нам очень повезет, то сможем ее очистить. К тому же у инопланетян начинает замечаться нехватка снабжения, их авиация летает уже не так активно как раньше, видимо топливо берегут. Так что если мы продержимся еще некоторое время, то сможем взять их голыми руками. Но только при условии, что больше подкреплений к ним не придет. Вы слышите меня? Еще один десантный корабль, прорвавшийся к Земле, и мы будем разбиты.;;;;
;Сделаю все что смогу;-1;;;
