Диалог после битвы - Боевые дроны (помощь от клисков).csv;zorsan_battle_after_klisk;klisk_dialog;zorsan/final_battle
Диалог после битвы - Вояджер.csv;zorsan_battle_after_voyager;enterprise_dialog;zorsan/final_battle
Диалог после битвы - командование.csv;zorsan_battle_after_earth;earth_dialog;zorsan/final_battle
Диалог после битвы - Фурко (помощь от бродяг) .csv;zorsan_battle_after_rogues;rogues_scar_dialog;zorsan/final_battle
Диалог после битвы - Хрррака (помощь от борков).csv;zorsan_battle_after_hrraka;bork_dialog;zorsan/final_battle
МКС - перед высадкой.csv;zorsan_battle_before_station_boarding;earth_ship_dialog;zorsan/final_battle
МКС захвачена.csv;zorsan_battle_station_captured;earth_dialog;zorsan/final_battle
МКС спасена.csv;zorsan_battle_station_saved;earth_ship_dialog;zorsan/final_battle
Нападение - вторая волна (десант на МКС).csv;zorsan_battle_space_station_invasion;earth_dialog;zorsan/final_battle
Нападение - первая волна.csv;zorsan_battle_first_wave;earth_dialog;zorsan/final_battle
Нападение - помощь по эвентам - бродяги.csv;zorsan_battle_rogues_arrive;rogues_dialog;zorsan/final_battle
Нападение - помощь по эвентам - Клиски.csv;zorsan_battle_klisk_arrive;klisk_dialog;zorsan/final_battle
Начало второй волны.csv;zorsan_battle_second_wave;earth_dialog;zorsan/final_battle
Первая волна - подкрепление.csv;zorsan_battle_first_wave_reinforcements;earth_dialog;zorsan/final_battle
Перед второй волной - помощь по эвентам - борки.csv;zorsan_battle_bork_event_arrive;bork_dialog;zorsan/final_battle
Перед нападением - (буквально за секунду до) прибытие кораблей борков.csv;zorsan_battle_bork_arrive;bork_vip_dialog;zorsan/final_battle
Перед нападением - Мартан.csv;zorsan_battle_before_start;earth_dialog;zorsan/final_battle
Перед нападением - открытый космос, члены экипажа.csv;zorsan_battle_crew_before_attack;interior_dialog;zorsan/final_battle
Перед нападением - связь с Вояджером.csv;zorsan_battle_voyager;voyager_dialog;zorsan/final_battle
Планета захвачена.csv;zorsan_battle_earth_captured;asia_leader;zorsan/final_battle
После высадки первого десантного корабля.csv;zorsan_battle_first_dropship;earth_dialog;zorsan/final_battle
После высадки половины десантных кораблей.csv;zorsan_battle_half_dropships;earth_dialog;zorsan/final_battle
После высадки почти всех десантных кораблей.csv;zorsan_battle_almost_all_dropships;usa_leader;zorsan/final_battle
После первого выстрела по Земле.csv;zorsan_battle_deathstar_attack;earth_dialog;zorsan/final_battle
После первой волны.csv;zorsan_battle_first_wave_ended;earth_dialog;zorsan/final_battle
Третья волна.csv;zorsan_battle_third_wave;earth_dialog;zorsan/final_battle
