0;*Finding Sarah Frontz, the ship's Head Engineer, isn't an easy task. Her office is on the lower decks of the Aurora 2, so you have to cover a lot of ground before finding out that Sarah isn't there. You only find her a half-hour later, at Hyperspace Module 4 where she is busy calibrating the focusing array. The buzzing of the servo mechanisms that rotate the lenses is killing your ears. The whining of the mechanisms is accompanied by the screeching of the buffer and the beeping of fault detectors. Your nostrils are assaulted by the smell of grease.* ;;;;
;Sarah!!! Officer Frontz!!! ;1;;;
1;*You had to yell, but she heard you. Sarah screams something, too, but to one of the engineers working nearby, not to you.* Garrus! Go on without me! *And only then does she walk up to you. You leave the module.* Hello, Cap. I'm glad to see you, even though you distracted me. I'm sorry I'm... *She lifts her hands up, inviting you to take a look at her dirty overalls and gloves dripping sticky oil.* Well, you get it. Is this a social or a business visit?;;;;
;Business, of course. Consider this getting to know the ship and, of course, her crew. ;2;;;
;Social, pretty much. I just wanted to talk for a bit. ;9;;;
;It doesn't matter. In any case, I'll let you get back to work, officer. ;-1;;;
2;Oh… In that case, let's go to my office. I mean, we can't talk in the hallway, can we? *She takes off her gloves and throws them into the bin for single-use equipment. She moves elegantly. Her thin figure is a perfect fit for narrow maintenance hallways.* ;;;;
;I don't even know what to ask you. What should I know about my ship? ;3;;;
3;You? *She turns around and smiles. Her face is cute, even though you wouldn't call her conventionally beautiful. Take her slightly crooked nose: it's definitely been broken.* Well, you know... You don't really need to know anything about my neck of the woods. The hyper systems are working all right, we were just calibrating them. The gun batteries have been tested, they are now on standby. My staff is in perfect shape and ready to serve.;;;;
;The hyper systems?;4;;;
;I'd like to listen about the guns.;6;;;
;Yeah, let's talk about your staff. What can your people do? ;7;;;
;Okay, I get the picture. Sarah, tell me about yourself. ;9;;;
;Great. In that case, I'll let you get back to it. I have to go. ;17;;;
4;Yeah. They hyper systems. *Sarah looks at you with narrowed eyes.* Basically, it's that thing I was calibrating when you distracted me. When the time comes, it does a woobla-boobla-doo, *Sarah waves her hands around and makes a woobla-doobla-doo sound with a creepy voice*, and then our ship can go to deep space. By the way, it can only do it at the systems' borders, where the stars' gravity is the weakest.;;;;
;That's a great explanation.;5;;;
5;I wanted to become a teacher, but life turned out differently.;;;;
;I'd like to listen about the guns.;6;;;
;Yeah, let's talk about your staff. What can your people do? ;7;;;
;Okay, I get the picture. Sarah, tell me about yourself. ;9;;;
;Great. In that case, I'll let you get back to it. I have to go. ;17;;;
6;There's nothing to tell you, really. We have a laser. The laser is good. The best of what they do on Earth. I don't know what we might have to go up against, but we can give them a decent fight. ;;;;
;The hyper systems?;4;;;
;Yeah, let's talk about your staff. What can your people do? ;7;;;
