0;*На тебя смотрит странно одетый инопланетянин — из тех, кого называют бродягами. За его спиной ты видишь, как десятка полтора его сородичей сооружают нечто похожее на небольшой обелиск — столб метров в пять. При этом он активно вибрирует, и помигивает огоньками* Я знаю. Вы люди. Сутью Пожирателя я приветствую вас.;;;
;Я тоже вас приветствую. Объясните мне, что это за сооружение? И что вы вообще делаете на спутнике моей планеты?;1;;
1;Мы молимся Сути Пожирателя и сути вашей звезды. Это — наш Алтарь. Без него молитва бесполезна. ;;;
;Ладно. Тогда объясните, пожалуйста, почему из-за ваших манипуляций воздействие спутника на планету изменилось? Страдают наши прибрежные города.;2;;
2;Мы знаем. Наш Алтарь сломан.;;;
;Это означает, что вы покинете Луну и заберете ваши приборы?;3;;
3;Это означает, что мы не можем покинуть Луну. Красивое название. Пока не закончена молитва, мы не можем вернуться к себе. Пока не функционирует Алтарь, молитва не будет закончена.;;;
;Слушайте, вы, наверное, меня не поняли. Я повторю. Из-за ваших действий страдают города моей планеты. Это плохо. И это будет продолжаться, если вы не отключите ваш сломанный алтарь.;4;;
4;Нам жаль. Действительно жаль. Но мы не можем. ;;;
;Последний раз. Отказываетесь?;5;;
5;*молчание и твердый взгляд в ответ*;;;
;Мне жаль, что до этого дошло, но если мирных слов вы не понимаете, то придется применить к вам силу.;6;;
;Так, это не дело. По чьему, вообще, приказу вы тут это все устроили?;7;;
;Так. Алтарь сломан? Значит, если его починить, то катаклизмы на планете прекратятся, а вы сможете улететь отсюда?;8;;
;Так, мне нужно провести срочный офицерский совет. Мне надо идти.;-1;;
6;Битва? Вы станете Сутью Пожирателя. *бродяга зол*;;;
;А ты станешь исследовательским материалом.;-1;;1
7;Мы сами. Молиться Сути Пожирателя — счастье. Но послал нас сюда старейшина Хур, мазершип Брау. Вы это имели в виду?;;;
;Старейшина Хур, мазершип Брау… Хорошо. Если уж вы такие тугодумы, придется лететь к нему.;-1;;
8;Да. А вы хотите нам помочь?;;;
;А что мне еще остается?;9;;
;Пожалуй, нет. Слишком уж муторный для меня вариант.;5;;
9;Хорошо. Ваш корабль. Дайте нам частоту связи. Мы пришлем список необходимого.;;;
;Договорились. Я возвращаюсь туда. Не затягивайте с пересылкой данных.;-1;;
