0;Вызывали, к-к-ка-апитан?;
;Потрудись объяснить, что я могу наблюдать через окно иллюминатора.;1
1;*Гордон замялся* Ну… мы… К-к-апитан, это… *нервничает*;
;Так. Давай спокойно.;2
2;Мы толком и не знаем, капитан. Какая-то биомасса. Что-то вроде плесени. Прошло сквозь щиты, облепило обшивку, и…;
;И?;3
3;И все.;
;Что значит «и все»?;4
4;И все. Оно не пытается ничего сделать. Просто облепило обшивку.;
;Вы изучили эту биомассу?;5
5;*Гордон кивает* Очень сложная структура. Не поддается расшифровке… А ведь у нас первоклассные лаборатории. Понять удалось только то, что эта биомасса совершенно не мешает кораблю. Разве что обшивку пачкает. И лучше на Землю с ней не залетать…;
;Гордон, «Аврора-2» и так не приспособлена к полетам в атмосфере. Развалится из-за собственной тяжести.;6
6;Ну вот! *кивает* Никакого вреда! Можно и так летать!;
;Стоп-стоп-стоп. То есть ты предлагаешь нам продолжать путешествие с ЭТИМ на обшивке?;7
7;Ну… *чувствуя, что пахнет жареным, Гордон как-то вжался подальше от камеры* Оно ничему не поддается, капитан! Мы пробовали счищать, но буквально тут же оно разрастается снова! Оно выживает в открытом космосе, капитан. Что нам делать?!! Мы не можем ударить по всей поверхности этой биомассы!!;
;Наверняка что-то сделать можно. Я постараюсь что-нибудь придумать. А пока… пока можно полетать и так.;8
8;Кэп. Извиняюсь за то, что встреваю. Мы тут вместе с Генри изучили воздействие корабельного оружия на эту штуку.;engineer_dialog;;;
;Вы что, по своему же кораблю стреляли? Без моего согласия?;9;;;
;И каковы результаты?;12;;;
9;*Сара явно смущена* Ну-у-у не то чтобы стреляли…;engineer_dialog;;;
;…;10;;;
10;Под мою ответственность, капитан. Мы с госпожой Фронтц отлично знаем, какой импульс можно подать на обшивку без опасности ее повредить, так что никакой угрозы кораблю не было.;marine_dialog;;;
;В следующий раз ставьте меня в известность заранее о таких экспериментах.;11;;;
;Это открытое нарушение устава. Вы обязаны были мне сообщить, и решение о таких экспериментах принимать могу только я. И за такую самодеятельность по уставу вам положена гауптвахта. Обоим.;15;;;henry_plus
;Надеюсь, вы действительно знали, что делали.;18;;;
11;Обязательно. Просто в этот раз идея родилась уж слишком внезапно.;marine_dialog;;;
;И что же вы выяснили?;12;;;
12;Эта мерзкая штука... Брр... Неплохо блокирует повреждения. Не как бронированная обшивка, конечно, но она способна заметно ослабить луч лазера или самортизировать удар мелких обломков и метеоритов. В общем, наш корпус стал немного прочнее.;engineer_dialog;;;
;На сколько же?;13;;;
13;Процентов на 10. Немного, но в критической ситуации может спасти.;engineer_dialog;;;
;То есть вы предлагаете ее не счищать, что ли?;14;;;
14;Нет, конечно. Как правильно сказал Гордон, с этой дрянью на борту нас, скорее всего, не пустят ни в один порт. Так что перед возвращением на Землю или полетом к инопланетянам надо будет все-таки найти способ ее убрать. Но пока что можно и оставить, лишняя защита не повредит.;marine_dialog;;;
;Хорошо, я обдумаю это. Конец связи.;-1;;;
15;Так точно. Готов принять ответственность и отправиться туда прямо сейчас.;marine_dialog;;;
;Отставить. Ты мне на посту нужнее, чем в карцере. Что вы в итоге выяснили?;12;;;
;Да, это хорошая идея. Отдохни там денек, пожалуй. И ты, Сара, тоже.;16;;;
16;Капитан, вы что, серьезно? Мы же добыли ценные данные об этой гадости, и угрозы кораблю никакой не было. И нас за это на гауптвахту?!;engineer_dialog;;;
;Ты права, Сара. Будем считать, что я пошутил. Выкладывайте, что вы обнаружили?;12;;;
;Да, я серьезно. За нарушение субординации и подвергание корабля опасности должно следовать наказание. Здесь, в сотнях световых лет от дома, мы не можем позволить себе ослабление дисциплины. Мне очень жаль, но вы сами в этом виноваты.;17;;;prison
17;Вот черт, я от вас такого не ожидала, кэп. Генри, составите даме компанию? Мне одной будет скучновато там сидеть.;engineer_dialog;;;
;Сперва расскажите, чего вы там узнали.;12;;;
18;Конечно, капитан. Мы никогда не стали бы этого делать, не будь мы уверены в последствиях.;marine_dialog;;;
;И что же вы выяснили?;12;;;
