0;*К кому же?*;;
;К послу клисков.;3;;0;;
;К послу бродяг.;6;;0;;
;К послу борков.;5;;0;;
;К  послу зорсан.;2;;0;;
;Побыть в зале ещё немного и осмотреться вокруг.;1;;0;;
3;*Посольство клисков. Вход охраняют борки из персонала Единства и это вполне логично: может ли охранять себя народ, который не способен на прямое насилие? Удостоверив твою личность, тебя сразу запускают внутрь.*;;
;*осмотреться*;4;;0;;
;*к послу*;-1;;0;;
6;*Удивительное дело: бродяги, стоящие на страже своего посольства, проводами присоединены к блестящим металлическим стенам.  Увидев подошедшего тебя, они, стоящие ранее с закрытыми глазами, синхронно открывают их и говорят одновременно.* Капитан людей. Поошу, проходите. Я вас жду.;;
;*к послу*;-1;;0;;
5;*Логично, что на страже посольства борков стоят борки. Их можно было бы спутать с обслуживающим персоналом, среди которого борков тоже немало, но у этих охранников своя парадная форма, больше похожая на комбинезоны в обтяжку с нашитыми металлическими частями для защиты торса и паха. Один из борков, дождавшись, пока ты подойдёшь, приветливо... пожалуй, да, рычит.* Капитан людей. Приятно видеть вас. Господин посол ожидает. Проходите.;;
;*к послу*;-1;;0;;
2;*Туда не приглашали. Но, почему бы и нет? Посольство зорсан, вход из главной залы. Подойдя ко входу... мда, нет ничего удивительного в том, что тебя туда просто не пускают. Один из охранников постукивает пальцами по автомату: кажется, он будет рад его применить.*;;
;К послу клисков.;3;;0;unity_zorsan_ambassador_visited;
;К послу бродяг.;6;;0;unity_zorsan_ambassador_visited;
;К послу борков.;5;;0;unity_zorsan_ambassador_visited;
1;*Несмотря на свои масштабы это довольно уютное место, вот уж непонятно, как местные архитекторы смогли этого добиться. Сидеть за столом удобно и приятно. Огромный экран новостей и оповещений транслирует какую-то социальную рекламу, но звук у неё негромкий, не давит на уши. Кое-где в зале стоят диковинные инопланетные растения, но есть и земные: в соответствующем секторе из большой кадки растёт берёзка. В общем и целом - в этом месте можно провести очень много времени, но как раз его-то сейчас и нет. Время уходить.*;;
;К послу клисков.;3;;0;;
;К послу бродяг.;6;;0;;
;К послу борков.;5;;0;;
;К  послу зорсан.;2;;0;;
4;*Свет немного приглушен, по сравнению с тем, как было в предыдущей зале. Стены в основном в фиолетовых тонах, а пол, как это водится у клисков, усыпан песком. В нескольких местах на полу стоят фонтанчики, которые работают без перерыва - воздух в посольстве клисков очень влажный. Что касается персонала, то его мало. Секретарь за своим столом на приёме, и три борковских охранника, скучающих тут и там. Кабинет посла виден сразу, вход в него прямо возле секретарского стола.*;;
;*к послу*;-1;;0;;
