0;*Тоже большая круглая зала, пусть и поменьше, чем предыдущая. В центре - большой металлический обелиск, вокруг которого стоят несколько бродяг, из затылков которых в этот обелиск отходят толстые провода. Все бродяги из персонала присоединены кабелями к своим постам: у других бродяг такого нет. Интересно, могут ли эти кабеля вытягиваться? Меж тем, кабинета посла сразу и не увидать. Похоже, что нужно проконсультироваться с одним из стоящих вокруг обелиска бродяг.*;;
;*осмотреться*;1;;0;;
;*обелиск*;2;;0;;
;*подойти к обелиску*;3;;0;;
1;*Круглая зала, очень похожая на центральную общую часть станции. Отличия заключаются лишь в размерах и в отсутствии прозрачного потолка: открытый космос из этого посольства не увидать. Вообще, посольство бродяг выглядит… немного непригодным для жизни, именно так его можно описать. Любое существо, кроме присоединённых кабелями к стенам бродяг, наверняка чувствует себя здесь не в своей тарелке. Может именно поэтому здесь мало посетителей?*;;
;*обелиск*;2;;0;;
;*подойти к обелиску*;3;;0;;
2;*Лишь присмотревшись можно понять: этот немного кривой столб здесь поставлен не для красоты, его предназначение вполне утилитарно. Тут и там в нём можно увидеть разъёмы для подключения проводов. Но, меж тем, есть в этом какая-то эстетика, пусть и непривычная человеку.*;;
;*осмотреться*;1;;0;;
;*подойти к обелиску*;3;;0;;
3;*Бродяга, к которому ты подошёл, сразу открывает глаза. Они у него остекленелые, но в них есть мысль. Очень, очень странное сочетание.* Капитан людей. Вы хотите знать, как пройти ко мне?;;
;Посол? Вы… здесь?;4;;0;;
;Да, именно так.;5;;0;;
4;Именно так. Посольство - это я. *Бродяга ждёт, пока ты спросишь чего-то ещё.*;;
;Да, именно так.;5;;0;;
5;*Бродяга молча указывает на одну из дверей, на которой в самом деле висит маленькая, почти незаметная табличка "Посол". Бродяга смотрит на тебя, ожидая вопросов.*;;
;Посол? Вы… здесь?;4;;0;;
;*к послу*;6;;0;;
6;*Дверь открывается едва только стоит к ней подойти. Это вполне можно считать приглашением. Несмотря на то, что внутри темно, ты входишь внутрь, и сразу же в кабинете посла загорается свет. Что же, замечательно: кабинет посла больше всего похож на пустую кладовую - это просто средних размеров комната, в которой ничего нет, кроме встроенных лампочек.* Капитан людей. *Голос слышен изо всех сторон кабинета, он словно обволакивает.* Я полагаю, вы немного удивлены. Это нормально. Садитесь. *В центре комнаты с лёгким жужжанием из пола выдвигается стул.*;;
;*сесть*;9;;0;;
;Простите, а где вы?;7;;0;;
;Почему здесь пусто?;8;;0;;
9;*Стул твёрдый, из каких-то полимеров. Стоит на него сесть, и в кабинете всё снова меняется: из потолка выдвигается небольшой голографический проектор, который сразу же начинает работать и кабинет заполняется голограммами. Мебель, какие-то украшения… самое удивительное - это голограмма окна, из которого видно открытый космос, тоже голографический. Основной свет немного притухает и кабинет теперь освещается лишь призрачным синим светом голограмм.* Приветствую, капитан людей. *Голос по-прежнему слышен из ниоткуда.* Я рад наконец вас увидеть.;;
;А я думал, что посол бродяг - это господин Фиршэ, которого я видел на совещании.;10;;0;;
;А где вы сами?;11;;0;;
;У вас тут очень необычно. Не в положительном смысле, уж извините за прямоту.;13;;0;;
;А что с теми бродягами? Почему они все прикованы проводами к стенам?;14;;0;;
;Вы хотели меня видеть.;15;;0;;
7;Посольство - это я, капитан людей… вы хотите продолжать разговор стоя?;;
;*сесть*;9;;0;;
;Почему здесь пусто?;8;;0;;
8;Всё, что необходимо, находится прямо здесь: в потолке, в полу, в стенах… впрочем, я понимаю. Посольство бродяг необычно даже по меркам самих бродяг. Впрочем, лучше вам сесть.;;
;*сесть*;9;;0;;
;Простите, а где вы?;7;;0;;
10;Он действительно посол. *Голос становится мягче, словно бы тот, кто его говорит, улыбается.* Посол посла, можно сказать. Он представляет меня там, где необходимо живое присутствие.;;
;А где вы сами?;11;;0;;
;У вас тут очень необычно. Не в положительном смысле, уж извините за прямоту.;13;;0;;
;А что с теми бродягами? Почему они все прикованы проводами к стенам?;14;;0;;
;Вы хотели меня видеть.;15;;0;;
11;Как я уже говорил: посольство - это я, капитан людей. Посольство - одна большая аугментация ко мне, или, если судить по масштабам, я - одна маленькая аугментация к посольству. Я вижу камерами. Слежу за порядком охранниками. Общаюсь с посетителями консультантами. Сам же я... *Усмешка.* Я - мозг, который находится где-то в Единстве.;;
;Мозг?;12;;0;;
13;Да. Я настоял на том, чтобы посольство было именно таким. Оно заставляет посетителей не задерживаться.;;
;А я думал, что посол бродяг - это господин Фиршэ, которого я видел на совещании.;10;;0;;
;А где вы сами?;11;;0;;
;А что с теми бродягами? Почему они все прикованы проводами к стенам?;14;;0;;
;Вы хотели меня видеть.;15;;0;;
14;Чтобы я мог функционировать через них. Не беспокойтесь: когда кончается их смена, они снова становятся собой. *Усмешка.* А ещё - провода выдвигаются из стен. Иначе не было бы пользы от охранников, не так ли?;;
;А я думал, что посол бродяг - это господин Фиршэ, которого я видел на совещании.;10;;0;;
;А где вы сами?;11;;0;;
;У вас тут очень необычно. Не в положительном смысле, уж извините за прямоту.;13;;0;;
;Вы хотели меня видеть.;15;;0;;
15;Да. Хотел. Нам действительно есть о чём поговорить… Пожиратель. Нам известно, что он прибыл в вашу систему. Вы знаете, что это означает?;;
;Вы намекаете на то, что наша система обречена?;16;;0;;
12;Именно так. Вы хотите спросить что-то ещё?;;
;А я думал, что посол бродяг - это господин Фиршэ, которого я видел на совещании.;10;;0;;
;А где вы сами?;11;;0;;
;У вас тут очень необычно. Не в положительном смысле, уж извините за прямоту.;13;;0;;
;А что с теми бродягами? Почему они все прикованы проводами к стенам?;14;;0;;
;Вы хотели меня видеть.;15;;0;;
16;*Голос звучит так, словно говорящий кивает.* А вы не согласны?;;
;Мы пытаемся что-то сделать.;17;;0;;
17;И у вас получается? *Искренний интерес.*;;
;Пожалуй.;20;;0;;
;Наверняка получится.;19;;0;;
;Мне кажется, вы издеваетесь.;18;;0;;
20;Конечно, я вам верю. Тем не менее, даже если вы почти нашли решение, нам всё равно что обсудить.;;
;И что дальше?;21;;0;;
19;Что же, честный ответ. Прекрасно. Значит мы можем говорить напрямую.;;
;И что дальше?;21;;0;;
18;Нет. Что вы. Я давно забыл, что это такое… Тем не менее, я понял, что вы хотели сказать.;;
;И что дальше?;21;;0;;
21;Закончим с иллюзиями, капитан людей. Пытаясь найти способ уничтожить Пожиратель - вы ничего не добьётесь. Вы не сможете. *Голографический проектор рисует картину умершего Солнца.* А даже если и сможете, то весь мой народ будет вынужден объявить вам священную войну. Всё-таки вы, как-никак, уничтожите центральный объект нашей веры... *А теперь прямо перед тобой картина окружённой множеством кораблей Земли.*;;
;Если мы уничтожим… Вы что, угрожаете?;22;;0;;
;Странный у вас объект поклонения. Огромный космический корабль, уничтожающий системы…;23;;0;;
;Я полагаю, вы позвали меня для того, чтобы предложить иной выход?;24;;0;;
22;Нет. Это то, что будет, и мне очень, очень неприятно об этом говорить. *В голосе слышно искреннее огорчение.*;;
;Странный у вас объект поклонения. Огромный космический корабль, уничтожающий системы…;23;;0;;
;Я полагаю, вы позвали меня для того, чтобы предложить иной выход?;24;;0;;
23;Не объект поклонения. Центральный объект веры. Пожиратель и суть сути его. К сожалению, слишком долго и трудно будет объяснить вам догматы нашей религии, но вы всегда сможете попытаться узнать что-нибудь на нашем Мазершипе.;;
;Если мы уничтожим… Вы что, угрожаете?;22;;0;;
;Я полагаю, вы позвали меня для того, чтобы предложить иной выход?;24;;0;;
24;Именно. Небольшой экскурс в историю, капитан людей. Клиски. До выхода в космос в их народе процветали несколько культов, основанных на идее, похожей на Торговый Кодекс. Конечно, они мало чем отличались друг от друга, и поэтому легко были объединены клисками... по сути, их вера не изменилась. Тем не менее, культы были.;;
;*слушать дальше*;25;;0;;
25;*Голос продолжает.* Борки. Множество воинственных верований. Сейчас борки отошли от концепции религии как таковой вовсе, но, тем не менее, мы можем проследить эволюцию их религиозных взглядов.;;
;Полагаю, речь пойдёт о зорсанах.;26;;0;;
26;Опять же, некоторое количество культов, множество сект. Главенствующей у зорсан сейчас является монотеистическая религия, согласно которой все зорсане - избранный народ, созданный для процветания и повелевания Вселенной.;;
