0;Значит можно не целиться - в кого-то да попадешь.;;;
;Для сурового военного ты порой слишком шутлив.;1;;
;И тебе не страшно?;3;;
;А если проиграем?;7;;
;Не смешно. Впрочем, есть другие дела, которые надо обсудить.;-1;;
;Забавная точка зрения. Интересно, сохранится ли она до битвы? Расскажешь после. Конец связи, Лишкевич.;-1;;-1
1;В книгах по военной психологии сказано, что это - защитная реакция организма. Шутки разряжают обстановку, помогают легче переносить стресс.;;;
;Вот оно как.;2;;
2;*Генри улыбается.* Да. Вот оно как. Впрочем, быть может я действительно слишком шутлив. ;;;
;И тебе не страшно?;3;;
;А если проиграем?;7;;
;Не смешно. Впрочем, есть другие дела, которые надо обсудить.;-1;;
;Забавная точка зрения. Интересно, сохранится ли она до битвы? Расскажешь после. Конец связи, Лишкевич.;-1;;-1
3;Страшно? Нет. Бывало и хуже.;;;
;Хуже? Это что же может быть хуже инопланетного вторжения?;4;;
4;*Генри на пару секунд прикрывает глаза и глубоко вздыхает.* Может.;;;
;Так что?;5;;
;Понятно…;6;;
5;Может быть расскажу вам после битвы. А сейчас - надо готовиться. Как вы сами сказали, инопланетное вторжение бывает не каждый день. *Генри отключается.*;;;
;На что спорю - не расскажет.;-1;;
6;*Генри молчит, ожидая вопросов.*;;;
;Для сурового военного ты порой слишком шутлив.;1;;
;И тебе не страшно?;3;;
;А если проиграем?;7;;
;Не смешно. Впрочем, есть другие дела, которые надо обсудить.;-1;;
;Забавная точка зрения. Интересно, сохранится ли она до битвы? Расскажешь после. Конец связи, Лишкевич.;-1;;-1
7;"Проиграем" в значении "погибнем", или "проиграем" в значении "останемся живы но планету захватят"?";;;
;Первое.;8;;
;Второе.;9;;
8;Я думаю, нам будет все равно. Мертвым всегда все равно.;;;
;Ммм… А второе?;9;;
;Мрачновато. Но в любом случае, есть еще кое-что, что надо обсудить.;-1;;
;Понятно. Приступай к подготовке. Конец связи.;-1;;-1
9;Не знаю. Мою планету еще ни разу не захватывали - не с чем сравнивать.  Но наверняка это будет плохо.;;;
;А первое?;8;;
;Чтобы этого не случилось - нужно довершать дела. Кстати о делах! Есть кое-что.;-1;;
;В таком случае - приступай к подготовке. Конец связи.;-1;;-1
