0;;;;;
;;1;!reply_bork_used && !war1_explore.intelligence_get;;reply_bork_used
;;11;!reply_klisk_used && !war1_explore.intelligence_get;;reply_klisk_used
;;27;!reply_rogues_used && !war1_explore.intelligence_get;;reply_rogues_used
;;35;!reply_zorsan_used && !war1_explore.intelligence_get;;reply_zorsan_used
;;36;!reply_humanity_used && !war1_explore.intelligence_get;;reply_humanity_used
;;36;war1_explore.intelligence_get;;
;;-1;;;
1;;;;;
;;2;;;
2;;;;;
;;4;;;
;;3;;;
3;;;;;
;;0;;;reject
4;;;;;
;;7;metropole_burden.embargo_signed=false;;
;;5;metropole_burden.embargo_signed=true;;
5;;;;;
;;6;;;
6;;;;;
;;3;;;
7;;;;;
;;10;can_pay_bork;;
;;9;;;
;;8;;;
;;3;;;
8;;;;;
;;10;;;
;;9;;;
;;3;;;
9;;;;;
;;10;;;
;;8;;;
;;3;;;
10;;;;;
;;-1;;1;
11;;;;;
;;13;klisk_pirate.quest_result!=rejected;;
;;12;klisk_pirate.quest_result=rejected;;
12;;;;;
;;0;;;reject
13;;;;;
;;14;;;
14;;;;;
;;15;;;
15;;;;;
;;16;;;
;;18;;;
;;19;;;
;;20;;;
16;;;;;
;;17;;;
17;;;;;
;;21;;;
18;;;;;
;;17;;;
19;;;;;
;;17;;;
20;;;;;
;;21;;;
21;;;;;
;;22;;;
22;;;;;
;;23;;;
23;;;;;
;;26;can_pay_klisk;;
;;25;;;
;;24;;;
24;;;;;
;;0;;;reject
25;;;;;
;;26;can_pay_klisk;;
;;24;;;
26;;;;;
;;-1;;2;
27;;;;;
;;28;;;
28;;;;;
;;29;;;
29;;;;;
;;30;;;
;;31;!reject;;
;;34;reject;;
30;;;;;
;;31;!reject;;
;;34;reject;;
31;;;;;
;;32;;;
32;;;;;
;;33;;;
33;;;;;
;;0;;;
34;;;;;
;;0;;;
35;;;;;
;;0;;;
36;;;;;
;;37;;;
;;0;;;
37;;;;;
;;38;;;
;;0;;;
38;;;;;
;;39;;;
;;0;;;
39;;;;;
;;41;;;
;;40;;;
;;0;;;
40;;;;;
;;41;;;
;;0;;;
41;;;;;
;;42;;;
;;0;;;
42;;;;;
;;43;;;
;;0;;;
43;;;;;
;;44;;;
;;0;;;
44;;;;;
;;45;;;
45;;;;;
;;46;;;
46;;;;;
;;47;;;
;;47;;;
47;;;;;
;;48;;;
48;;;;;
;;49;;;
;;50;;;
;;51;;;
;;52;;;
;;53;;;
49;;;;;
;;50;;;
;;51;;;
;;52;;;
;;53;;;
50;;;;;
;;49;;;
;;51;;;
;;52;;;
;;53;;;
51;;;;;
;;49;;;
;;50;;;
;;51;;;
;;52;;;
;;53;;;
52;;;;;
;;49;;;
;;50;;;
;;51;;;
;;53;;;
53;;;;;
;;54;reject && !war1_explore.intelligence_get;;
;;54;!reject && war1_explore.intelligence_get;;
;;58;!reject && !war1_explore.intelligence_get;;
54;;;;;
;;55;reject;;
;;56;war1_explore.intelligence_get;;
55;;;;;
;;0;;;
56;;;;;
;;57;;;
57;;;;;
;;0;;;
58;;;;;
;;0;;;
