0;Личное время? Ой, кэп, да много как. Хожу в спортзал, читаю книги, готовлю, смотрю фильмы. У нас отличный кинозал, вы знали? Лучший из тех, где я была!;engineer_dialog_happy
;Любишь держать форму?;1
;Какие книги читаешь?;2
;Готовишь?;6
;Ты киноманка?;3
;Понятно. Рад, что ты находишь, чем себя занять. Конец связи.;-1
1;Конечно. Да и вообще, приятно пообщаться с людьми. Вон, офицер Лишкевич — он не такой, он нелюдим. Гордона нормально понимают только ученые, да. А я люблю побегать, потрепаться с обслуживающим персоналом, или с солдатами.;
;Какие книги читаешь?;2
;Готовишь?;6
;Ты киноманка?;3
;Понятно. Рад, что ты находишь, чем себя занять. Конец связи.;-1
2;*Сара указывает назад, в сторону прикроватной тумбы, на который лежит большая стопка книг. В основном что-то на иврите.* У меня тут свои, но кое-что я беру. Иногда фантастика, иногда детективы. Разные жанры.;
;Любишь держать форму?;1
;Готовишь?;6
;Ты киноманка?;3
;Понятно. Рад, что ты находишь, чем себя занять. Конец связи.;-1
3;Ой, да, вы знаете, у нас тут так… Ох! Такой кинозал, такие фильмы! На прошлой неделе показывали «На Луну», вы его смотрели? Тот фильм, про старика и про двух докторов.;engineer_dialog_happy
;Вроде бы да, видел.;4
;Не припомню. Что там?;5
4;Тогда вы меня понимаете! «Мы обязательно встретимся на Луне!» Честно признаюсь, я расплакалась. *Сара вздыхает*;
;Любишь держать форму?;1
;Готовишь?;6
;Какие книги читаешь?;2
;Понятно. Рад, что ты находишь, чем себя занять. Конец связи.;-1
5;Драма, романтика и даже про космос немного есть. Ах… *Сара шмыгает носом* Какой… фильм… *ладонью утирает выступившую слезу*;
;Любишь держать форму?;1
;Готовишь?;6
;Какие книги читаешь?;2
;Понятно. Рад, что ты находишь, чем себя занять. Конец связи.;-1
6;Да, я люблю готовить. Печенье пеку, или что-нибудь национальное… Знаете, чем-то напоминает починку движков, только руки почти не пачкаются.;
;Как-то не ожидал такого от тебя.;7
7;Между прочим, зря! *фыркает* В моей семье я готовила лучше всех. Двенадцать едоков не могут ошибаться.;
;Любишь держать форму?;1
;Какие книги читаешь?;2
;Ты киноманка?;3
;Понятно. Рад, что ты находишь, чем себя занять. Конец связи.;-1
