0;*Через час или два, всё тот же услужливы Мэтью провожает тебя от комнаты до зала, где и проводится пресс-конференция.* Я видел ту, вашу, которая была на Земле несколько лет назад. *Мэтью улыбается, шагая по коридорам.* Ну и народищу же там было! У нас, ясное дело, поменьше. Считайте, просто расскажете местной верхушке чего вы добились и всё.;;
;Местной верхушке? А как же СМИ?;1;;0;;
;*молча идти*;2;;0;;
1;У нас тут две газеты, радио, да небольшая телекомпания. Конечно, будет пара человек с Земли, но пока эти новости до Земли дойдут-то, пф! *Мэтью трясёт головой и щурится.* Всё тихо и скромно, капитан.;;
;*молча идти*;2;;0;;
2;*В конце концов вы приходите. Да, Мэтью не обманул: маленький зал с небольшой трибуной, за которой уже стоит Рич. Несколько рядов неказистых стульев, заняты не все. Всего пара камер и три микрофона. Домашняя обстановочка.*;;
;*пройти к трибуне*;3;;0;;
3;А вот и он! *Рич пожимает тебе руку.* Капитан - располагайтесь… Господа - думаю, этого человека представлять не надо. Капитан "Авроры-2", тот, благодаря которому мы здесь сейчас и находимся. Капитан прибыл сюда для того, чтобы урегулировать некоторые вопросы внешней политики нашей колонии. Капитан? *Очевидно, он ожидает, что ты продолжишь.*;;
;Да, всё именно так. Целью моего прибытия было урегулирование экономических отношений колонии. В основном это касалось повышения налогов и пошлин, взимаемых с колониальных предприятий при торговле. Однако, мы говорили и на иные темы… например, по поводу торговли с инопланетянами или поставок с Земли. Мы пришли к консенсусу.;4;;0;;
4;*Ага. Первый вопрос. Слово берёт худой человек в костюме-тройке, который велик ему примерно на размер. Руки у человека мозолистые и грубые.* Джексон Хомбре. СЕО "Юнити Спойл". Так что с налогами, капитан? Это напрямую повлияет на меня - предприятие у меня небольшое, контракта с Землёй нет.;;
;Налоги для предприятий имеющих контракты с Авророй остались неизменными. Налоги для местных предприятий были повышены. Это временные меры, исключительно из-за энергетического кризиса на Земле. Во время следующей ревизии этот момент обязательно будет пересмотрен.;5;metropole_burden.taxes_signed=true;0;;
;Налоги для предприятий имеющих контракты с Авророй остались неизменными. Налоги для частных колониальных предприятий - тоже. Конечно - это не навсегда. Во время следующей ревизии данный момент будет пересмотрен. Но пока что всё обстоит именно так.;6;metropole_burden.taxes_signed=false;0;result=result+1;
5;*Человек сжимает губы. Но, тем не менее, кивает и садится на своё место. Руку тянет мужчина, стоящий возле одной из больших телекамер.* Максим Свами. Издание "Мы - колонисты!". Раз уж мы затронули тему налогов… что с пошлинами? Их тоже увеличили? Я, конечно, имею в виду частные предприятия...;;
;Да, и пошлины тоже. Положение на Земле очень тяжёлое. В данный момент это попросту необходимо.;7;metropole_burden.dues_signed=true;0;;
;Нет, пошлины не увеличены.;8;metropole_burden.dues_signed=false;0;result=result+1;
6;*Человек не меняется в лице. Он кивает и садится на своё место, садится расслабленно, после чего достаёт платок и утирает лоб. Теперь руку тянет мужчина, сидящий возле одной из больших телекамер.* Максим Свами. Издание "Мы - колонисты!". Раз уж мы затронули тему налогов… что с пошлинами? Их тоже увеличили?;;
;Да, и пошлины тоже. Положение на Земле очень тяжёлое. В данный момент это попросту необходимо.;7;metropole_burden.dues_signed=true;0;;
;Нет, пошлины не увеличены.;8;metropole_burden.dues_signed=false;0;result=result+1;
7;И что же? Вы действительно считаете, что это так необходимо? *Журналист выглядит так, словно услышал то, что и ожидал.* Каково ваше личное мнение?;;
;С моей точки зрения увеличение пошлин - оправданный шаг.;9;;0;;
;Мне кажется, что заморозка пошлин необходима. ;10;;0;;
;Без комментариев.;11;;0;;
8;Бесспорно - это очень порадует наших предпринимателей. *Журналист выглядит удивлённым.* А каково же ваше личное мнение на этот счёт?;;
;С моей точки зрения увеличение пошлин - оправданный шаг.;9;;0;;
;Мне кажется, что заморозка пошлин необходима. ;10;;0;;
;Без комментариев.;11;;0;;
9;Да, понятно. Это, безусловно, очень нужно Земле! *Улыбнувшись, не оставляя сомнения в том, что даже капли сарказма или иронии в его словах не было, журналист сел на своё место.*;;
;Вы! Вот вы, да! Следующий вопрос!;13;;0;;
;*осмотреться*;12;;0;;
10;*Журналист, кивнув и коротко поблагодарив, садится на своё место. Он выглядит немного растерянным.*;;
;Вы! Вот вы, да! Следующий вопрос!;13;;0;;
;*осмотреться*;12;;0;;
11;Жаль, капитан. Вы боитесь сказать что-то не то или вам настолько всё равно? *Журналист хмыкает и улыбается.* Не отвечайте, капитан. *Садится на своё место.*;;
;Вы! Вот вы, да! Следующий вопрос!;13;;0;;
;*осмотреться*;12;;0;;
13;Сирио Форрел. *Этот тучный мужчина выглядит, как и тот, кто задавал вопрос первым, немного измождённо, что очень странно. Под глазами у него круги от недосыпа. Костюм-тройка, почти такой же, как у первого, только синий, тоже на пару размеров больше, чем нужно, впрочем, на нём эта разница менее очевидна.* Я представляю союз колониальных коммерсантов... Когда нам разрешат возобновить торговлю с инопланетянами, капитан?;;
;Пока что всё остаётся как есть, с господином Донахью мы ни к чему не пришли. Я передам на Землю его требование разрешить местным коммерсантам вести торговые отношения с инопланетянами.;14;metropole_burden.embargo_signed=false;0;result=result+1;
;В интересах Земли они запрещены. Временно, конечно же.;14;metropole_burden.embargo_signed=true;0;;
12;*Да, после первых десяти минут можно взглянуть на это место иным взглядом. Сразу видно, кто пришёл на эту встречу просто так, а кто по делу. Кто волнуется сильно, а кто слабее. Все люди, сидящие на стульях и стоящие кто возле камер, а кто и возле входа в зал, смотрятся органично. Несмотря на своё волнение они - часть этого зала, они создают его атмосферу и это ощущается.*;;
;Вы! Вот вы, да! Следующий вопрос!;13;;0;;
14;*Сирио Форрел садится на своё место. Он шепчется с людьми, сидящими рядом. Теперь становится видно, что сидят они особняком, держатся вместе. После этого в зале повисает тишина, которую прерывает Рич.* Помимо этого мы обсуждали вопрос наших запросов на Землю... как вы знаете, мы неоднократно просили увеличить размер медицинского финансирования или предоставить выпускникам наших школ льготы при поступлении в высшие учебные заведения Земли... капитан? *Рич смотрит прямо на тебя.*;;
;Да, конечно. Я обещаю лично проконтролировать эту тему. ;15;metropole_burden.bring_colony_requests=true;0;result=result+1;
;Я уже говорил вам, Рич, что это зависит не от меня… В данном случае я ничего не могу сделать.;15;metropole_burden.bring_colony_requests=false;0;;
15;*Рич кивает.* И на этом всё… Господа, пресс-конференция окончена. *Он обращается к залу с приличествующими моменту словами. Люди встают и начинают расходиться.*;;
;*что же дальше?*;16;result=4;0;;
;*что же дальше?*;17;result>0 && result<4;0;;
;*что же дальше?*;18;result=0;0;;
16;*Люди выходят из зала. Похоже, что колонисты довольны. В воздухе разливается атмосфера какого-то довольства, колонисты словно бы не ожидали услышать то, что они услышали. Надо же. Журналист, задававший вопросы, даже подходит пожать тебе руку, остальные выходят из залы молча. Одним из последних выходит человек, всё время простоявший возле выхода. Он ничем не примечателен, простой человек в простом, как и многие тут, деловом костюме, но его глаза... В них мелькает что-то странное, что-то недоброе, что-то затаённое, задуманное. Тем не менее, этот человек уходит, напоследок лишь просто посмотрев на тебя. Вот теперь всё. Пресс-конференция окончена. Время возвращаться на Аврору.*;;
;[КОНЕЦ];-1;;0;;
17;*Люди выходят из зала. Они определённо напряжены. Не все, конечно, далеко не все, но несколько человек определённо выходят раздражёнными, недовольными. Впрочем, что тут поделать? Одним из последних выходит человек, всё время простоявший возле выхода. Он ничем не примечателен, простой человек в простом, как и многие тут, деловом костюме, но его глаза... В них мелькает что-то странное, что-то недоброе, что-то затаённое, задуманное. Тем не менее, этот человек уходит, напоследок лишь просто посмотрев на тебя. Вот теперь всё. Пресс-конференция окончена. Время возвращаться на Аврору.*;;
;[КОНЕЦ];-1;;0;;
18;*Люди выходят из зала… точнее, почти выбегают. Они недовольны, раздражены. Рич смотрит на тебя укоризненно, но что уж тут поделаешь: что сказано - то сказано. Странно. Все выходят, но один человек наоборот, пробивается к тебе. Ты вспоминаешься, что всю пресс-конференцию он простоял у входа... Выглядит он не опасно: просто человек в костюме-тройке, здесь многие такие носят. Но вот его глаза... Идти ему трудно: слишком быстро все стремятся покинуть зал.*;;
;Рич… кто это?;19;;0;;
19;*Рич не успевает ответить, потому что идущего человека перехватывает Мэтью. Он не один, с ним двое солдат.* Никак вы не уймётесь? *Мэтью очень едко улыбается.* И что же это у тебя там такое во внутреннем кармане, приятель?;;
;Кто это?;20;;0;;
20;*Человек, закусив губу, лезет во внутренний карман, и в следующий миг делает быстрое движение рукой, пытаясь швырнуть чем-то в тебя. Конечно же, ему это не удаётся - один из солдат толкает его под руку и грубой подсечкой сбивает на пол. Человек падает и кричит.* Ты такой же, как и все они! Никакой ты не герой! *Странно. И как ты мог так ошибиться? Только теперь становится понятно, что это ещё юноша, почти подросток, пусть даже высокий и развитой физически не по годам.* Один из местных активистов, капитан. Шахтёр. Не обращайте внимания, они не опасны... *Мэтью, опустившись на одно колено, подбирает то, что он пытался в тебя кинуть.*;;
;Покажите.;21;;0;;
;Это же почти ребёнок… почему он работает на шахте?;23;;0;;
;*посмотреть на активиста*;24;;0;;
;Мне пора возвращаться на Аврору.;25;;0;;
21;Это просто кусок глины. *Мэтью мнёт в руке синий кусок, размером, примерно, с голову младенца.* Такая у нас в шахтах. Правда… В чём это он? *Действительно, кусок облит чем-то вязким, бардового цвета, с какими-то комочками…*;;
;Мэтью, это кровь. Протухшая.;22;;0;;
23;Потому что он уже совершеннолетний. *Мэтью поднимается во весь рост и оглядывается. В зале почти никого не осталось, лишь несколько человек стоят и смотрят на происходящее.* Достаточно совершеннолетний, чтобы работать на шахте. *Мэтью лезет в карман к лежащему юноше и достаёт оттуда пачку сигарет.* Чтобы курить, как мы видим, и чтобы состоять в местной радикальной политической партии, да? Они уже не первый раз пытаются акционировать, капитан. Хорошо, что без оружия.;;
;Покажите.;21;;0;;
;*посмотреть на активиста*;24;;0;;
;Мне пора возвращаться на Аврору.;25;;0;;
24;*Да, теперь его можно рассмотреть получше. Это действительно юноша, высокий и мускулистый, руки у него очень грубые, с содранной кое-где кожей на ладонях, с трещинами на особо сухих её местах. Волосы короткие, тёмные. Практически бычья шея. Голубые глаза. Он смотрит прямо, с вызовом и злобой, но такого же прямого взгляда в ответ не выдерживает - отворачивается.*;;
;Покажите.;21;;0;;
;Это же почти ребёнок… почему он работает на шахте?;23;;0;;
;Мне пора возвращаться на Аврору.;25;;0;;
25;Конечно, капитан. *Рич подходит поближе.* Вас проводят.;;
;А что будет с ним?;26;;0;;
;*уйти*;-1;;0;;
22;Да! Это кровь! *Всё ещё лежащий на полу, активист смотрит на тебя почти с ненавистью.* Наша кровь! Подавись ей, мразь!;;
;Это же почти ребёнок… почему он работает на шахте?;23;;0;;
;*посмотреть на активиста*;24;;0;;
;Мне пора возвращаться на Аврору.;25;;0;;
