0;Это мой кабинет. *Рич открывает дверь с табличкой "Рич Донахью - управляющий секретарь".* Заходите. *Не войдя, а буквально ворвавшись внутрь, Рич располагается за своим столом и смотрит на тебя почти враждебно.*;;
;*осмотреться*;1;;0;;
;Вы знаете зачем я приехал?;2;;0;;
1;*Даже мимолётного взора хватает, чтобы понять - кабинет Донахью безвкусен и провинциален. Типовая мебель, типовое декарирование, типовое... абсолютно всё. Даже массивный деревянный стол в этом окружении выглядит совсем не величественно, а скорее нелепо. Полуповёрнутая фотография семьи, так, чтобы видно было и сидящему за столом, и посетителю, не выглядит мило. Странное зрелище. Рич по-прежнему смотрит с явной неприязнью.*;;
;Вы знаете зачем я приехал?;2;;0;;
2;*Ответ полон ядовитого сарказма.* О, я знаю зачем вы приехали! Во-первых - чтобы не дать мне толком обнять жену и дочь! Во-вторых - чтобы ещё больше затянуть петлю на шее колонии! Что, капитан, это не могло подождать до завтра? Конечно же не могло! Я прочёл документы, пересланные мне с вашего корабля. Вы всерьёз думаете, что я могу это подписать?;;
;Это нужно не "Авроре", это нужно Земле, Рич. Я не понимаю ваших мотивов.;-1;metropole_burden.documents_readed;1;;
;Рич, признаться честно - мне всё равно, вот уж извините. Вы должны подписать эти документы потому что так велит наше с вами общее начальство.;-1;metropole_burden.documents_readed;2;;
;К стыду своему… Я не читал документов. О чём идёт речь?;3;!metropole_burden.documents_readed;0;;
3;*Рич сидит на своём месте с таким видом, словно из него в один момент вынули все кости и он просто не может двинуться - настолько он опешил.* Что? *Он повторяет это ещё раз, теперь уже громче, потому что до этого говорил почти шёпотом.* Что? Что вы сказали?! *Он поднимается со своего кресла, упирается руками в стол, нависая над ним, и говорит медленно, размеренно, словно пытаясь вбить каждое своё слово между тобой и собой.* Вы прилетаете в эту колонию... отрываете меня от свидания семьёй, ради этого разговора... и вы даже не знаете о чём собираетесь говорить?! Вы... вы что, вам настолько плевать на то, что вам поручают?!! *Рич делает глубокий вдох, словно собираясь кричать, но говорит не громче обычного, хотя и очень агрессивно.* Вон из моего кабинета! И передайте на Земле, пусть в следующий раз пришлют кого-нибудь ответственного! А вы занимайтесь тем, чем привыкли заниматься - убивайте своих инопланетян или трахайте их, вот же настоящее дело для космического героя! *Злобно посмотрев напоследок, Рич подскакивает со своего места и уходит. Сразу же после этого в кабинет заходит Мэтью и провожает тебя назад в бронетранспортёр, тот медленно движется в сторону астропорта... Мда. Стыдно ли тебе? Это знаешь только ты. Пожалуй, если какую-то ситуацию и можно назвать эпическим провалом, то именно эту.*;;
;…;-1;;3;;
