0;*In an hour or two, the still accomodating Matthew walks you from your room to the hall where the press conference takes place.* I saw that one, the one you had on Earth a few years ago. *Matthew smiles as he walks down the hallways.* Tons of people there! The one we're doing is smaller, obviously. Basically, you're just going to tell the local big wigs what you've achieved and that's it.;;;;
;Local big wigs? What about the media?;1;;0;
;*walk in silence*;2;;0;
1;We've got two newspapers, a radio station and a small TV channel. Of course, there's going to be a few people from Earth, but the time it's going to take the news to reach Earth, pft! *Matthew shakes his head and squints.* It's modest and low profile, Captain.;;;;
;*walk in silence*;2;;0;
2;*Finally, you're there. Matthew wasn't wrong, it's a little hall with a small speaker's stand, Rich already standing behind it. Several rows of unsightly seats, not all of them are taken. Just a couple of cameras and three microphones. The atmosphere is very homey.*;;;;
;*walk towards the stand*;3;;0;
3;And there he is! *Rich shakes your hand.* Captain, makes yourself at home. Gentlemen, I don't think this man needs any introduction. Captain of the Aurora 2, it's thanks to him that we're all here tonight. The captain has arrived to settle some of the questions of our colony's foreign policy. Captain? *He obviously expects you to continue.*;colony_leader_dialog;;;
;Yes, that's exactly right. The purpose of my trip was regulating the colony's economic relations. It mostly concerned raising the taxes and the tariffs collected from colonial businesses during trade. However, we talked about some other subjects... such as trade with the aliens and shipments from Earth. We've reached a consensus.;4;;0;
4;* Here comes question number one. The man who takes the floor is thin and wearing a three-piece suit that's about one size too big for him. His hands are rough and covered in blisters.* Jackson Hombre, CEO of Unity Spoil. What about the taxes, Captain? I'm going to be directly affected by it, my business is small and I don't have any contracts with Earth.;;;;
;Taxes for businesses that have contracts with the Aurora Project stay the same. Taxes for local businesses have been raised. These are temporary measures taken entirely because of the energy crisis on Earth. In the course of the next review, that part will definitely be revised.;5;metropole_burden.taxes_signed=true;0;
;Taxes for businesses that have contracts with the Aurora Project stay the same. Same for the taxes for private colonial enterprises. It's not forever, of course. In the course of the next review, that part will be revised. But as of right now, this is how it's going to be.;6;metropole_burden.taxes_signed=false;0;result=result+1
