0;*Очень странный корабль пытается выйти с Авророй на связь. Корабль не похож ни на один из встреченных ранее. Его обшивка словно бы собрана по кусочкам из самых разных кораблей.*;;;
;*принять сигнал*;2;;
;*отказаться*;1;;
1;*Получив отказ, корабль быстро направляется к границе системы и прыгает в гипер. Странно. Чего же он всё-таки хотел?*;;;
;?;-1;;
2;Капитан людей! *Ничего себе! Похоже, капитан этого корабля - зорсанин!* Я так и знал, что встречу вас тут!;;;
;Зачем вы хотели со мной связаться?;3;;
;Назови хотя бы одну причину, по которой я не должен тебя уничтожать.;3;;
3;Всё просто, капитан? *Зорсанин хихикает, кутаясь в свой балахон.* Наш общий знакомый, тот, которому очень нравится гулять возле красных гигантов, снова отправился на прогулку. И у него есть что вам предложить!;;;
;Красные гиганты? Фолие! Зачем он хочет меня видеть?;4;;
4;*Ответа нет - корабль прервал связь и быстро направляется к границе системы. Достигнув её, он сразу же прыгает в гипер.*;;;
;Что же? зорсанские повстанцы снова активизировались? Может быть попытаться их найти? Что они хотят мне предложить? Было бы у меня побольше времени!;-1;;1
