0;Аврора-2, это вы? Давно никто не видел в дальнем космосе сигнатур вашего корабля… *Связной клисков щёлкает, но разобрать интонацию невозможно.*;;
;Приятно, что нас ещё помнят. Мы летели в колонию, но увидели три станции на её орбите. Решили связаться.;1;;0;;
1;Да, это торговые станции, капитан людей. Тем не менее, мы торгуем только с колонией, со сторонними кораблями нам торговать запрещено.;;
;Это ещё почему?;2;;0;;
2;Пару лет назад у нас из-за этого вышло… разногласие. Лидер вашей колонии утверждал, что мы сбиваем цены и мешаем развитию колонии. Он угрожал тем, что прогонит станции с орбиты. Боркам и бродягам что - они продают важные для колонии вещи: оружие и агументации, поэтому им нечего бояться того, что их попросят уйти... нам же пришлось подчиниться. Хотя и им тоже пришлось.;;
;Оружие?;3;;0;metropole_burden.trade_weapon;
;Аугментации?;4;;0;metropole_burden.trade_augmentation;
;Понятно. Что же, в таком случае не будем более отнимать ваше время. Конец связи.;-1;;0;;
3;Да. Борки торгуют своим оружием с вашей колонией. Борковское оружие кажется вашим колонистам особенно удобным.;;
;Аугментации?;4;;0;metropole_burden.trade_augmentation;
;Понятно. Что же, в таком случае не будем более отнимать ваше время. Конец связи.;-1;;0;;
4;Ничего не могу сказать на этот счёт. Знаю только то, что бродяги торгуют агументациями с вашими колонистами. Странно. Ведь никто кроме бродяг не может аугментироваться.;;
;Оружие?;3;;0;metropole_burden.trade_weapon;
;Понятно. Что же, в таком случае не будем более отнимать ваше время. Конец связи.;-1;;0;;
