0;*Динамики взрываются дикой какофонией звуков. Похоже, что на связи у этой станции сидит не очень умный борк.* Ар! Ары! Р… *Кто-то колотит головой о микрофон?* А! Хтоэта?! Штонадо?!;;
;Аврора-2, планета приписки - Земля. ;1;;0;;
1;Ары! Ар! Не тохуем… торгуем! Не торгуем! Не… *Щелчок переключения линии связи.* Аврора-2? Та самая? *Голос по прежнему очень груб и басовит, но его обладатель явно поумнее того, что говорил перед ним.*;;
;Да. Мы вообще-то прибыли в колонию, но решили сперва связаться с вами.;2;;0;;
2;Очень польщены, капитан людей. И удивлены увидеть вас тут, ха! Кто-то говорил, что больше вы в космос не выйдете… приятно, что это не так. Капитан людей, мы на этой станции с кораблями не торгуем.;;
;Почему?;3;;0;;
3;Станция маленькая, построена только для обмена товарами с вашей колонией - это раз. А ещё - у нас договор, чтобы не расстраивать торговлю вашей колонии.;;
;Вы продаете колонистам оружие?;5;metropole_burden.trade_weapon;0;;
;В колонии торгуют со сторонними кораблями?;4;;0;;
5;Конечно. Не самую лучшую планетку вы выбрали для колонизации, люди, ха-ха! Каких только страхолюдин там не встречается! Только у борков есть надёжное и мощное ручное оружие. Вы знаете, что наши лучемёты способны стрелять даже в полуразобранном состоянии?;;
;В колонии торгуют со сторонними кораблями?;4;;0;;
4;Конечно. Поэтому мы и не торгуем с кораблями.;;
;Вы продаете колонистам оружие?;5;metropole_burden.trade_weapon;0;;
;Понятно. Что же, нам пора улетать. Конец связи.;-1;;0;;
