0;;;
;;1;;0;;
;;2;;0;;
;;3;;0;;
;;-1;;0;;
1;;;
;;2;;0;;
;;3;;0;;
;;-1;;0;;
2;;;
;;1;;0;;
;;3;;0;;
;;-1;;0;;
3;;;
;;4;;0;;
;;8;;0;;
;;11;;0;;
;;13;;0;;
;;14;;0;;
4;;;
;;5;;0;;
8;;;
;;9;;0;;
;;10;;0;;
11;;;
;;12;;0;;
13;;;
;;4;;0;;
;;8;;0;;
;;11;;0;;
;;13;;0;;
;;14;;0;;
14;;;
;;-1;;0;;
5;;;
;;6;;0;;
;;7;;0;;
9;;;
;;10;;0;;
10;;;
;;4;;0;;
;;11;;0;;
;;13;;0;;
;;14;;0;;
12;;;
;;4;;0;;
;;8;;0;;
;;13;;0;;
;;14;;0;;
6;;;
;;7;;0;;
7;;;
;;8;;0;;
;;11;;0;;
;;13;;0;;
;;14;;0;;
