0;*К Мартану не пробиться, каким бы героем и знаменитостью ты ни был. Каково оно, постоять в очереди ожидающих первый раз за несколько лет? Ощущения своеобразные, признайся. В конце концов тебя пропускают. Мартан уже ждёт. Как обычно в своей рубашке и жилете, без пиджака. Как обычно пахнет тем же самым одеколоном. Если бы не морщины и прибавившаяся седина - он словно бы и не изменился нисколько, словно и не прошли эти годы.* А вот и ты. *Мартан протягивает руку.* Если бы летел кто-то другой - мы бы уже начали волноваться. Но Авророй управлял ты. Все знали, что ты вернёшься.;;;;
;А куда же я денусь. *пожать руку*;1;;;
1;*Мартан садится в кресло.* Вот именно. Бремя исследователя космоса, куда ты теперь от него денешься? Ммм? Ладно. Я так понимаю, с делами ты закончил. Отчитывайся.;;;;
;"Я доставил Джозефа на ""Единство"" и поговорил со всеми послами.";2;!reply_unity_used;;reply_unity_used
;По поводу колонии?;12;!reply_colony_used;;reply_colony_used
;Это всё. ;29;reply_colony_used && reply_unity_used;;
2;И что же?;;;;
;Что же? Началось всё с совещания послов, куда позвали даже меня. А ещё там был Садовник. Не лично, конечно. Но и не на прямой связи. Он прислал запись.;3;;;
3;*Мартан внимательно слушает твой рассказ. Получается очень долго - в паре слов тут ничего не опишешь. Изредка он перебивает.* То есть они разрешили нам подраться на кулачках и обещали не лезть? Какое благородство. Я уверен, что если мы будем побеждать - они начнуть помогать зорсанам. А если верх начнут одерживать зорсаны - будут оказывать помощь нам... прекрасно. Что дальше? *И он слушает дальше. Тебе остаётся лишь рассказывать. И ближе к концу ты очень удивлён - ведь на Мартана не производит совершенно никакого эффекта то, что сделал Садовник. Мартан кивает и откидывается на спинку кресла, разминая шею движениями из стороны в сторону.*;;;;
;Ты не понял? Оказывается, он знал, что мы скажем! Он просто послал сделанную заранее запись!;4;;;
4;И что? *Взгляд у твоего начальника ленивый и скептичный.* Во-первых - это вполне мог быть какой-нибудь монтаж, тебе это в голову не приходило? Во-вторых - даже если Садовник действительно? *Мартан недовольно щурится и шевелит пальцами в воздухе.* ВИДИТ БУДУЩЕЕ, то пока что он это не использовал ни для нашей, ни для чьей ещё либо пользы. Нам сейчас не об этом нужно думать. Что с послами? ;;;;
;Я говорил с послом клисков. Он кое-что предложил одно скользкое дельце - я отказался.;5;!reply_klisk_pirate_used && klisk_pirate.quest_result=rejected;;reply_klisk_pirate_used
;Я говорил с послом клисков. И согласился на кое-какую работу.;6;!reply_klisk_pirate_used && klisk_pirate.started;;reply_klisk_pirate_used
;Разговор с послом борков был неплохим.;7;!reply_bork_used;;reply_bork_used
;К зорсанам меня не  пустили.;8;!reply_zorsan_used && unity_zorsan_ambassador_visited;;reply_zorsan_used
;Говорил с послом бродяг. Он переслал мне кое-какие данные - это поможет нам с Опустошителем. А ещё посла бродяг нет тела.;10;!reply_rogues_used;;reply_rogues_used
;Говорил со всеми. А в самом конце - с Джозефом.;11;!reply_joseph_used;;reply_joseph_used
5;Что за дело? *Мартан слушает и кивает, одобряя твой выбор.* Правильно. Лучше не рисковать, слишком многое на кону. ;;;;
;Я говорил с послом клисков. И согласился на кое-какую работу.;6;!reply_klisk_pirate_used && klisk_pirate.started;;reply_klisk_pirate_used
;Разговор с послом борков был неплохим.;7;!reply_bork_used;;reply_bork_used
;К зорсанам меня не  пустили.;8;!reply_zorsan_used && unity_zorsan_ambassador_visited;;reply_zorsan_used
;Говорил с послом бродяг. Он переслал мне кое-какие данные - это поможет нам с Опустошителем. А ещё посла бродяг нет тела.;10;!reply_rogues_used;;reply_rogues_used
;Говорил со всеми. А в самом конце - с Джозефом.;11;!reply_joseph_used;;reply_joseph_used
6;В чём суть дела? *Дослушав тебя, Мартан снова недовольно щурится.* И зачем ты согласился? От этой работы на милю несёт тухлятиной и аммиаком? Впрочем, именно для таких решений тебе и дали карт-бланш. Ты знаешь, что делашь. Может я не вижу чего-то, что видишь ты.;;;;
;Я говорил с послом клисков. Он кое-что предложил одно скользкое дельце - я отказался.;5;!reply_klisk_pirate_used && klisk_pirate.quest_result=rejected;;reply_klisk_pirate_used
;Разговор с послом борков был неплохим.;7;!reply_bork_used;;reply_bork_used
