1Борки связь с планетой.csv;bork_planet_land;bork_dialog;bork
2Борки посадка и поездка по городу.csv;bork_planet_transfer;bork_dialog;bork
3Борки посольство испытание.csv;bork_embassy_test;bork_dialog;bork
4.1Диппредставитель борков - убийство.csv;bork_embassy_test_kill;bork_vip_dialog;bork
4.2Диппредставитель борков - ранил.csv;bork_embassy_test_injure;bork_vip_dialog;bork
4.3Диппредставитель борков - увернулся.csv;bork_embassy_test_miss;bork_vip_dialog;bork
5.1Борки диалог Генри после прибытия на борт (если взял с собой).csv;bork_embassy_after;bork_dialog;bork
Дефолтный диалог агрессивные борки.csv;bork_default_aggressive;bork_dialog;bork
Дефолтный диалог неагрессивные борки.csv;bork_default_not_aggressive;bork_dialog;bork
Дефолтный диалог с планетой.csv;bork_planet_default;bork_dialog;bork
